baseline,epic1_peak_r,epic1_curvature,epic2_delta_r,epic2_original_r,epic3_lipschitz,epic3_baseline_r,epic4_flip_rate,epic5_tas
lpm_selftrained,0.9443387923923496,0.0008221589649623271,0.015471290141109576,0.7616668867360493,0.1448195092064064,0.9428916092388038,0.0005373936408419148,-0.0047498769291275614
lpm_randomGeneEmb,0.9341645842485348,-0.0009972023233630388,0.010179599288484649,0.7082087290119834,,,0.0005373936408419148,0.002148726328204018
lpm_randomPertEmb,0.6936315290900188,0.0023058838866565436,0.02819577536983583,0.44891806590149247,,,0.013400966849242697,-0.02354700684360373
lpm_scgptGeneEmb,0.9358169369778184,-0.00025735126943290525,0.01118107723810359,0.7270338644725116,,,0.0005373936408419148,-0.011710628378963897
lpm_scFoundationGeneEmb,0.935047191687382,-0.0006408218586226857,0.010938627063953541,0.7131279641789837,,,0.0005373936408419148,0.015630939593262807
lpm_gearsPertEmb,0.7902054262243193,0.00016407645984425388,0.027378050986186297,0.5697850840675118,2.0283499209379627,0.6056104166447435,0.014869900214727786,0.05209128766572611
lpm_k562PertEmb,0.9315817596190789,-0.00015462109086712597,,,1.1630143754410738,0.7463266546702902,0.00013434841021047906,-0.003343907447817373
lpm_rpe1PertEmb,0.9335171329264642,0.0008457816902322594,,,1.5734973778906127,0.7419718180417102,0.00012631047113805714,-0.01972237589751436
