baseline,epic1_mean_r,epic1_peak_r,epic2_original_r,epic3_lipschitz,epic3_baseline_r,epic5_tas
lpm_gearsPertEmb,0.6073094116477282,0.6300231271538222,0.6076983971265437,2.0283499209379627,0.6056104166447435,0.0696096398065459
lpm_k562PertEmb,0.7559764603268476,0.7802912960861548,0.7049054901121157,1.1630143754410738,0.7463266546702902,0.07259022382887359
lpm_randomGeneEmb,0.745647705992316,0.7774354160802405,0.7557053665517706,,,-0.034126686374875835
lpm_randomPertEmb,0.39807339571578076,0.5168553989386454,0.3220666922163277,,,0.05026241329567697
lpm_rpe1PertEmb,0.7505045079296409,0.7764900103025408,0.6920848908970645,1.5734973778906127,0.7419718180417102,-0.12792281014872772
lpm_scFoundationGeneEmb,0.7557022552476411,0.7814106559574286,0.7642156103951749,,,-0.013895955000313764
lpm_scgptGeneEmb,0.7661223085084073,0.7887328948325899,0.7728145165881889,,,-0.08153016255828789
lpm_selftrained,0.7974671122686434,0.8139280800588486,0.7975486391149834,0.1448195092064064,0.9428916092388038,-0.1179677373083839
