baseline,dataset,pearson_r,pearson_ci_lower,pearson_ci_upper,l2,n_test
randomGeneEmb,adamson,0.9323167950894432,0.8853090440790845,0.958828149454445,2.3018555464082167,12
scgptGeneEmb,adamson,0.9348071563072623,0.8915566110153755,0.9601233347352138,2.2080836169966913,12
selftrained,adamson,0.9406360011384586,0.900388009579193,0.9655028783075992,2.0939840562506187,12
randomGeneEmb,k562,0.6491915551758104,0.619847826627517,0.6800407566015431,4.036915185277467,163
scgptGeneEmb,k562,0.665746692798782,0.6371614140993174,0.6962187811417635,3.843936273175854,163
selftrained,k562,0.7054129610321576,0.6773020643585137,0.7336576788315983,3.54064249103331,163
randomGeneEmb,rpe1,0.7382109045200642,0.7135409630582784,0.7641959660887585,5.341407791995615,231
scgptGeneEmb,rpe1,0.7594863730474073,0.7383836394078448,0.7822790413666556,5.001884163348398,231
selftrained,rpe1,0.7920641184109648,0.7727917174086093,0.8124084887084603,4.564586982296777,231
