baseline,dataset,pearson_r,pearson_ci_lower,pearson_ci_upper,l2,n_test
randomGeneEmb,adamson,0.03630166910950583,-0.4833230466850006,0.5726086972114368,8.06665878686564,5
scgptGeneEmb,adamson,0.45353928845572333,0.20352636436688493,0.7342875224760306,6.105967519265422,5
selftrained,adamson,0.8820704511534572,0.8422892156246308,0.9240457580688154,4.364295195325843,5
randomGeneEmb,k562,0.340849534092495,0.3243620301456617,0.3562204434265601,6.065543395505201,397
scgptGeneEmb,k562,0.4858113447909593,0.4689385851994442,0.5024537498527365,5.263512335935771,397
selftrained,k562,0.6324667065840107,0.6155257374219516,0.649638714570044,4.567209511889912,397
randomGeneEmb,rpe1,0.69384536847761,0.6736558221216526,0.7164769383987853,7.976359025743056,313
scgptGeneEmb,rpe1,0.7248644141966507,0.7070870189311982,0.7446257557099779,6.681362456883018,313
selftrained,rpe1,0.8042468100583815,0.7887428231086642,0.8207907193548819,5.615069184792871,313
