epic,baseline,dataset,n_rows,mean_r,std_r
1,randomGeneEmb,lpm,18,0.7456477059923159,0.09813644789495832
1,gearsPertEmb,lpm,14,0.5561981130495918,0.13330774161545247
1,rpe1PertEmb,lpm,18,0.7505045079296409,0.1388469927739933
1,scgptGeneEmb,lpm,18,0.7661223085084073,0.10560474150070952
1,k562PertEmb,lpm,14,0.7061494869862937,0.10714236041702198
1,randomPertEmb,lpm,18,0.3980733957157808,0.19949050881950242
1,selftrained,lpm,18,0.7974671122686434,0.1142083083694691
1,scFoundationGeneEmb,lpm,18,0.7557022552476411,0.10218601184353303
