dataset,baseline,test_perturbation,top_pct,local_train_size,local_mean_similarity,local_max_similarity,local_min_similarity,performance_local_pearson_r,performance_local_l2,performance_baseline_pearson_r,performance_baseline_l2,improvement_pearson_r,improvement_l2,baseline_type,pearson_r,l2,hardness,embedding_similarity,split_fraction
adamson,lpm_gearsPertEmb,ZNF326,0.01,1,0.7380374239149102,0.7380374239149102,0.7380374239149102,-0.1864222704510774,13.518472331490994,-0.4866839562125235,13.563111823737646,0.3002616857614461,0.0446394922466524,lpm_gearsPertEmb,-0.1864222704510774,13.518472331490994,0.7380374239149102,0.7380374239149102,0.0163934426229508
adamson,lpm_gearsPertEmb,ZNF326,0.05,4,0.6652333829366207,0.7380374239149102,0.6084290323900121,-0.3442629581277356,11.560738993188169,-0.4866839562125235,13.563111823737646,0.1424209980847879,2.0023728305494792,lpm_gearsPertEmb,-0.3442629581277356,11.560738993188169,0.6652333829366207,0.6652333829366207,0.0655737704918032
adamson,lpm_gearsPertEmb,ZNF326,0.1,7,0.5496603964073529,0.7380374239149102,0.3427537287261059,-0.3309989424309145,11.391507561739196,-0.4866839562125235,13.563111823737646,0.155685013781609,2.17160426199845,lpm_gearsPertEmb,-0.3309989424309145,11.391507561739196,0.5496603964073529,0.5496603964073529,0.1147540983606557
adamson,lpm_gearsPertEmb,UFL1,0.01,1,0.9607033925630069,0.9607033925630069,0.9607033925630069,0.8645211006380559,2.9678788033264145,0.9024566721284232,2.462237144122064,-0.0379355714903671,-0.5056416592043504,lpm_gearsPertEmb,0.8645211006380559,2.9678788033264145,0.9607033925630069,0.9607033925630069,0.0163934426229508
adamson,lpm_gearsPertEmb,UFL1,0.05,4,0.8470743232308386,0.9607033925630069,0.7516070952868715,0.8726087667905433,2.782227322520024,0.9024566721284232,2.462237144122064,-0.0298479053378797,-0.3199901783979602,lpm_gearsPertEmb,0.8726087667905433,2.782227322520024,0.8470743232308386,0.8470743232308386,0.0655737704918032
adamson,lpm_gearsPertEmb,UFL1,0.1,7,0.802420253027137,0.9607033925630069,0.7382020886789793,0.8976339229329215,2.479451639092055,0.9024566721284232,2.462237144122064,-0.0048227491955015,-0.0172144949699908,lpm_gearsPertEmb,0.8976339229329215,2.479451639092055,0.802420253027137,0.802420253027137,0.1147540983606557
adamson,lpm_gearsPertEmb,TMEM167A,0.01,1,0.9974688184339546,0.9974688184339546,0.9974688184339546,0.8523912983132782,3.1568740896898784,0.9259398369702284,2.2948236236411885,-0.0735485386569502,-0.8620504660486898,lpm_gearsPertEmb,0.8523912983132782,3.1568740896898784,0.9974688184339546,0.9974688184339546,0.0163934426229508
adamson,lpm_gearsPertEmb,TMEM167A,0.05,4,0.9663652926400308,0.9974688184339546,0.9200946741929732,0.92160318250716,2.3063256622835633,0.9259398369702284,2.2948236236411885,-0.0043366544630684,-0.0115020386423747,lpm_gearsPertEmb,0.92160318250716,2.3063256622835633,0.9663652926400308,0.9663652926400308,0.0655737704918032
adamson,lpm_gearsPertEmb,TMEM167A,0.1,7,0.9334343704746424,0.9974688184339546,0.8820805525190287,0.92031196774011,2.3212029832157977,0.9259398369702284,2.2948236236411885,-0.0056278692301184,-0.0263793595746091,lpm_gearsPertEmb,0.92031196774011,2.3212029832157977,0.9334343704746424,0.9334343704746424,0.1147540983606557
adamson,lpm_gearsPertEmb,SLC39A7,0.01,1,0.9813631055103164,0.9813631055103164,0.9813631055103164,0.9148274348431767,2.378450099968204,0.932390111868998,2.3679821836912787,-0.0175626770258212,-0.0104679162769252,lpm_gearsPertEmb,0.9148274348431767,2.378450099968204,0.9813631055103164,0.9813631055103164,0.0163934426229508
adamson,lpm_gearsPertEmb,SLC39A7,0.05,4,0.9242615960454752,0.9813631055103164,0.8899853364674118,0.9281467967553874,2.1608230206340853,0.932390111868998,2.3679821836912787,-0.0042433151136107,0.2071591630571934,lpm_gearsPertEmb,0.9281467967553874,2.1608230206340853,0.9242615960454752,0.9242615960454752,0.0655737704918032
adamson,lpm_gearsPertEmb,SLC39A7,0.1,7,0.8997358937062627,0.9813631055103164,0.8487472766591045,0.940117356467222,1.9523011228457103,0.932390111868998,2.3679821836912787,0.0077272445982239,0.4156810608455681,lpm_gearsPertEmb,0.940117356467222,1.9523011228457103,0.8997358937062627,0.8997358937062627,0.1147540983606557
adamson,lpm_gearsPertEmb,GBF1,0.01,1,0.9018236736835812,0.9018236736835812,0.9018236736835812,0.7353005424700917,4.649543935229384,0.9381723245110012,1.844979555306843,-0.2028717820409096,-2.8045643799225406,lpm_gearsPertEmb,0.7353005424700917,4.649543935229384,0.9018236736835812,0.9018236736835812,0.0163934426229508
adamson,lpm_gearsPertEmb,GBF1,0.05,4,0.8271336048512983,0.9018236736835812,0.7013666874490143,0.8951283053199686,2.4888092936890236,0.9381723245110012,1.844979555306843,-0.0430440191910327,-0.6438297383821803,lpm_gearsPertEmb,0.8951283053199686,2.4888092936890236,0.8271336048512983,0.8271336048512983,0.0655737704918032
adamson,lpm_gearsPertEmb,GBF1,0.1,7,0.7606988740107644,0.9018236736835812,0.6630630456694798,0.9421186408889176,1.7998200067011945,0.9381723245110012,1.844979555306843,0.0039463163779163,0.0451595486056488,lpm_gearsPertEmb,0.9421186408889176,1.7998200067011945,0.7606988740107644,0.7606988740107644,0.1147540983606557
